red,green
19119.0,19790.0
19115.0,19793.0
19145.0,19792.0
19108.0,19791.0
19133.0,19793.0
19136.0,19792.0
19108.0,19792.0
19143.0,19794.0
19121.0,19791.0
19116.0,19793.0
19148.0,19792.0
19112.0,19790.0
19128.0,19793.0
19140.0,19791.0
19103.0,19792.0
19143.0,19794.0
19122.0,19790.0
19114.0,19794.0
19144.0,19792.0
19114.0,19791.0
19128.0,19794.0
19139.0,19791.0
19105.0,19791.0
19139.0,19794.0
19126.0,19790.0
19112.0,19793.0
19148.0,19792.0
19113.0,19791.0
19123.0,19794.0
19140.0,19791.0
19105.0,19791.0
19137.0,19794.0
19128.0,19791.0
19109.0,19792.0
19145.0,19793.0
19111.0,19791.0
19123.0,19793.0
19141.0,19792.0
19107.0,19792.0
19137.0,19793.0
19129.0,19792.0
19112.0,19792.0
19146.0,19793.0
19113.0,19791.0
19120.0,19793.0
19144.0,19792.0
19107.0,19790.0
19134.0,19794.0
19135.0,19791.0
19110.0,19792.0
19146.0,19793.0
19119.0,19791.0
19120.0,19793.0
19146.0,19792.0
19109.0,19791.0
19132.0,19794.0
19135.0,19791.0
19107.0,19792.0
19144.0,19794.0
19120.0,19791.0
19114.0,19794.0
19148.0,19793.0
19112.0,19791.0
19132.0,19793.0
19139.0,19791.0
19103.0,19792.0
19143.0,19793.0
19123.0,19790.0
19113.0,19793.0
19149.0,19792.0
19111.0,19791.0
19128.0,19794.0
19143.0,19791.0
19107.0,19792.0
19141.0,19794.0
19127.0,19791.0
19112.0,19792.0
19147.0,19793.0
19113.0,19791.0
19123.0,19793.0
19141.0,19792.0
19108.0,19791.0
19142.0,19793.0
19132.0,19790.0
19112.0,19792.0
19146.0,19794.0
19115.0,19791.0
19123.0,19793.0
19145.0,19792.0
19106.0,19792.0
19136.0,19794.0
19132.0,19791.0
19107.0,19792.0
19146.0,19794.0
19119.0,19790.0
19121.0,19793.0
19147.0,19792.0
19109.0,19791.0
19134.0,19793.0
19133.0,19791.0
19106.0,19792.0
19144.0,19794.0
19119.0,19790.0
19117.0,19794.0
19148.0,19792.0
19112.0,19790.0
19131.0,19793.0
19139.0,19791.0
19105.0,19792.0
19143.0,19793.0
19123.0,19791.0
19118.0,19793.0
19149.0,19792.0
19115.0,19791.0
19127.0,19794.0
19141.0,19791.0
19109.0,19792.0
19141.0,19793.0
19125.0,19791.0
19115.0,19793.0
19144.0,19794.0
19111.0,19791.0
19123.0,19793.0
19141.0,19791.0
19107.0,19791.0
19139.0,19793.0
19130.0,19791.0
19113.0,19792.0
19146.0,19793.0
19113.0,19791.0
19120.0,19793.0
19143.0,19792.0
19108.0,19792.0
19136.0,19795.0
19131.0,19792.0
19110.0,19792.0
19144.0,19793.0
19116.0,19790.0
19121.0,19794.0
19146.0,19792.0
19110.0,19790.0
19131.0,19793.0
19135.0,19791.0
19109.0,19792.0
19146.0,19793.0
19118.0,19790.0
19118.0,19795.0
19144.0,19792.0
19112.0,19791.0
19131.0,19793.0
19136.0,19791.0
19107.0,19792.0
19144.0,19794.0
19121.0,19791.0
19116.0,19793.0
19148.0,19792.0
19112.0,19790.0
19126.0,19794.0
19140.0,19791.0
19108.0,19792.0
19143.0,19793.0
19128.0,19790.0
19113.0,19793.0
19147.0,19794.0
19114.0,19790.0
19126.0,19794.0
19143.0,19791.0
19108.0,19792.0
19141.0,19793.0
19130.0,19791.0
19113.0,19792.0
19146.0,19793.0
19115.0,19791.0
19122.0,19794.0
19145.0,19792.0
19108.0,19791.0
19136.0,19793.0
19134.0,19792.0
19111.0,19792.0
19146.0,19795.0
19119.0,19791.0
19119.0,19794.0
19145.0,19792.0
19109.0,19790.0
19136.0,19793.0
19135.0,19791.0
19107.0,19792.0
19145.0,19793.0
19118.0,19790.0
19118.0,19793.0
19149.0,19792.0
19111.0,19791.0
19131.0,19794.0
19135.0,19792.0
19107.0,19792.0
19144.0,19794.0
19124.0,19790.0
19116.0,19793.0
19149.0,19792.0
19112.0,19791.0
19130.0,19794.0
19139.0,19791.0
19107.0,19792.0
19142.0,19794.0
19125.0,19791.0
19114.0,19792.0
19147.0,19792.0
19112.0,19791.0
19125.0,19793.0
19140.0,19793.0
19110.0,19791.0
19140.0,19793.0
19129.0,19790.0
19112.0,19792.0
19146.0,19793.0
19113.0,19791.0
19124.0,19794.0
19143.0,19792.0
19106.0,19791.0
19140.0,19793.0
19130.0,19791.0
19111.0,19793.0
19145.0,19793.0
19116.0,19791.0
19121.0,19794.0
19146.0,19792.0
19111.0,19791.0
19134.0,19793.0
19133.0,19791.0
19108.0,19792.0
19147.0,19794.0
19120.0,19790.0
19118.0,19793.0
19146.0,19792.0
19110.0,19791.0
19134.0,19794.0
19140.0,19791.0
19107.0,19793.0
19143.0,19795.0
19123.0,19790.0
19114.0,19793.0
19149.0,19792.0
19114.0,19791.0
19131.0,19794.0
19139.0,19791.0
19105.0,19792.0
19140.0,19794.0
19125.0,19791.0
19115.0,19793.0
19148.0,19793.0
19112.0,19791.0
19125.0,19794.0
19140.0,19791.0
19108.0,19791.0
19138.0,19793.0
19130.0,19790.0
19112.0,19792.0
19148.0,19793.0
19112.0,19791.0
19125.0,19794.0
19143.0,19792.0
19107.0,19791.0
19139.0,19793.0
19133.0,19792.0
19112.0,19792.0
19145.0,19794.0
19115.0,19792.0
19121.0,19795.0
19145.0,19793.0
19111.0,19791.0
19137.0,19793.0
19133.0,19792.0
19110.0,19792.0
19147.0,19793.0
19118.0,19790.0
19118.0,19793.0
19146.0,19792.0
19108.0,19791.0
19133.0,19794.0
19137.0,19791.0
19106.0,19792.0
19143.0,19795.0
19123.0,19791.0
19115.0,19793.0
19148.0,19794.0
19111.0,19791.0
19131.0,19794.0
19138.0,19791.0
19107.0,19792.0
19143.0,19793.0
19124.0,19791.0
19114.0,19793.0
19149.0,19793.0
19111.0,19791.0
19127.0,19794.0
19141.0,19791.0
19106.0,19793.0
19139.0,19795.0
19128.0,19791.0
19111.0,19792.0
19147.0,19793.0
19112.0,19791.0
19123.0,19794.0
19143.0,19792.0
19109.0,19791.0
19138.0,19793.0
19133.0,19790.0
19111.0,19792.0
19145.0,19793.0
19117.0,19790.0
19118.0,19793.0
19146.0,19792.0
19110.0,19792.0
19136.0,19793.0
19135.0,19792.0
19110.0,19792.0
19146.0,19793.0
19119.0,19791.0
19120.0,19793.0
19146.0,19792.0
19112.0,19791.0
19133.0,19793.0
19136.0,19791.0
19109.0,19791.0
19143.0,19794.0
19121.0,19791.0
19118.0,19794.0
19146.0,19792.0
