red,green
0.0,17660.0
0.0,17627.0
0.0,17648.0
0.0,17692.0
0.0,17706.0
0.0,17691.0
0.0,17648.0
0.0,17673.0
0.0,17616.0
0.0,17716.0
0.0,17676.0
0.0,17624.0
0.0,17612.0
0.0,17690.0
0.0,17692.0
0.0,17661.0
0.0,17719.0
0.0,17619.0
0.0,17714.0
0.0,17572.0
0.0,17710.0
0.0,17664.0
0.0,17646.0
0.0,17714.0
0.0,17672.0
0.0,17708.0
0.0,17655.0
0.0,17738.0
0.0,17669.0
0.0,17762.0
0.0,17669.0
0.0,17770.0
0.0,17712.0
0.0,17829.0
0.0,17774.0
0.0,17847.0
0.0,17787.0
0.0,17870.0
0.0,17759.0
0.0,17837.0
0.0,17813.0
0.0,17859.0
0.0,17803.0
0.0,17882.0
0.0,17800.0
0.0,17884.0
0.0,17794.0
0.0,17867.0
0.0,17784.0
0.0,17870.0
0.0,17775.0
0.0,17844.0
0.0,17815.0
0.0,17819.0
0.0,17781.0
0.0,17858.0
0.0,17697.0
0.0,17791.0
0.0,17811.0
0.0,17813.0
0.0,17795.0
0.0,17790.0
0.0,17813.0
0.0,17743.0
0.0,17814.0
0.0,17773.0
0.0,17849.0
0.0,17777.0
0.0,17831.0
0.0,17768.0
0.0,17842.0
0.0,17786.0
0.0,17840.0
0.0,17752.0
0.0,17837.0
0.0,17752.0
0.0,17844.0
0.0,17739.0
0.0,17833.0
0.0,17733.0
0.0,17843.0
0.0,17743.0
0.0,17862.0
0.0,17745.0
0.0,17867.0
0.0,17750.0
0.0,17875.0
0.0,17753.0
0.0,17866.0
0.0,17750.0
0.0,17844.0
0.0,17726.0
0.0,17794.0
0.0,17723.0
0.0,17820.0
0.0,17755.0
0.0,17822.0
0.0,17745.0
0.0,17797.0
0.0,17741.0
0.0,17740.0
0.0,17767.0
0.0,17777.0
0.0,17818.0
0.0,17798.0
0.0,17818.0
0.0,17790.0
0.0,17836.0
0.0,17793.0
0.0,17822.0
0.0,17777.0
0.0,17834.0
0.0,17764.0
0.0,17838.0
0.0,17777.0
0.0,17833.0
0.0,17765.0
0.0,17830.0
0.0,17767.0
0.0,17838.0
0.0,17757.0
0.0,17807.0
0.0,17738.0
0.0,17827.0
0.0,17732.0
0.0,17868.0
0.0,17750.0
0.0,17867.0
0.0,17744.0
0.0,17845.0
0.0,17748.0
0.0,17868.0
0.0,17741.0
0.0,17850.0
0.0,17743.0
0.0,17846.0
0.0,17759.0
0.0,17848.0
0.0,17757.0
0.0,17828.0
0.0,17751.0
0.0,17848.0
0.0,17766.0
0.0,17823.0
0.0,17746.0
0.0,17828.0
0.0,17742.0
0.0,17782.0
0.0,17776.0
0.0,17796.0
0.0,17778.0
0.0,17771.0
0.0,17826.0
0.0,17800.0
0.0,17815.0
0.0,17784.0
0.0,17815.0
0.0,17756.0
0.0,17809.0
0.0,17712.0
0.0,17782.0
0.0,17688.0
0.0,17760.0
0.0,17716.0
0.0,17861.0
0.0,17745.0
0.0,17846.0
0.0,17735.0
0.0,17851.0
0.0,17723.0
0.0,17858.0
0.0,17741.0
0.0,17836.0
0.0,17734.0
0.0,17820.0
0.0,17742.0
0.0,17775.0
0.0,17719.0
0.0,17783.0
0.0,17764.0
0.0,17790.0
0.0,17776.0
0.0,17758.0
0.0,17786.0
0.0,17755.0
0.0,17810.0
0.0,17753.0
0.0,17762.0
0.0,17714.0
0.0,17841.0
0.0,17725.0
0.0,17797.0
0.0,17732.0
0.0,17844.0
0.0,17738.0
0.0,17830.0
0.0,17730.0
0.0,17820.0
0.0,17732.0
0.0,17842.0
0.0,17735.0
0.0,17859.0
0.0,17741.0
0.0,17840.0
0.0,17747.0
0.0,17817.0
0.0,17757.0
0.0,17826.0
0.0,17763.0
0.0,17810.0
0.0,17780.0
0.0,17820.0
0.0,17770.0
0.0,17797.0
0.0,17774.0
0.0,17771.0
0.0,17789.0
0.0,17752.0
0.0,17796.0
0.0,17720.0
0.0,17786.0
0.0,17723.0
0.0,17814.0
0.0,17721.0
0.0,17823.0
0.0,17722.0
0.0,17823.0
0.0,17720.0
0.0,17840.0
0.0,17724.0
0.0,17854.0
0.0,17721.0
0.0,17836.0
0.0,17697.0
0.0,17806.0
0.0,17717.0
0.0,17760.0
0.0,17720.0
0.0,17756.0
0.0,17744.0
0.0,17735.0
0.0,17767.0
0.0,17732.0
0.0,17792.0
0.0,17730.0
0.0,17815.0
0.0,17728.0
0.0,17817.0
0.0,17707.0
0.0,17823.0
0.0,17717.0
0.0,17820.0
0.0,17693.0
0.0,17776.0
0.0,17690.0
0.0,17770.0
0.0,17710.0
0.0,17762.0
0.0,17738.0
0.0,17758.0
0.0,17735.0
0.0,17702.0
0.0,17739.0
0.0,17670.0
0.0,17758.0
0.0,17682.0
0.0,17783.0
0.0,17656.0
0.0,17778.0
0.0,17672.0
0.0,17742.0
0.0,17684.0
0.0,17751.0
