red,green
18999.0,7974.0
18984.0,8145.0
18968.0,8203.0
18976.0,8012.0
19014.0,8014.0
18988.0,8234.0
18966.0,8910.0
18977.0,8823.0
18966.0,8585.0
18958.0,8235.0
18984.0,8012.0
19035.0,7931.0
18956.0,7532.0
19000.0,7074.0
18959.0,7371.0
19006.0,7405.0
18967.0,6869.0
18995.0,6690.0
18987.0,7482.0
19007.0,7762.0
18968.0,8219.0
18982.0,7243.0
18994.0,6702.0
19005.0,6714.0
18991.0,7364.0
18982.0,7138.0
19004.0,7460.0
18986.0,6896.0
19015.0,7242.0
18957.0,6812.0
19024.0,7137.0
18959.0,7455.0
19015.0,7568.0
18959.0,8039.0
19003.0,7859.0
19005.0,8003.0
18976.0,8512.0
18964.0,8925.0
18976.0,8687.0
18957.0,8019.0
19013.0,7929.0
18996.0,8106.0
18985.0,8071.0
18971.0,7647.0
19022.0,7981.0
18970.0,8366.0
18977.0,8100.0
18978.0,7845.0
19014.0,7895.0
18966.0,8472.0
18979.0,8295.0
18984.0,8055.0
19020.0,8074.0
18976.0,6756.0
19015.0,7277.0
18963.0,7291.0
19015.0,7418.0
18968.0,7450.0
19012.0,7520.0
18978.0,7183.0
19013.0,7408.0
18974.0,7221.0
19013.0,7510.0
18978.0,7116.0
19008.0,7371.0
18974.0,7299.0
19012.0,7504.0
18978.0,7115.0
19012.0,7320.0
18973.0,7251.0
19015.0,7314.0
18967.0,6869.0
19005.0,7492.0
18976.0,7410.0
19014.0,7470.0
18970.0,7698.0
19013.0,7927.0
19001.0,8250.0
18982.0,8731.0
18980.0,8559.0
18973.0,8380.0
18988.0,8250.0
19015.0,8098.0
19005.0,8186.0
18985.0,8227.0
18976.0,7964.0
19012.0,8106.0
19011.0,8228.0
18984.0,8330.0
18974.0,8414.0
18981.0,8312.0
19009.0,8105.0
19015.0,8125.0
18988.0,8337.0
18976.0,8487.0
18980.0,8402.0
19001.0,8146.0
19022.0,8136.0
19002.0,8351.0
18982.0,8464.0
18975.0,8414.0
18984.0,8187.0
19013.0,8165.0
19010.0,8251.0
18984.0,8406.0
18973.0,8464.0
18977.0,8411.0
18996.0,8177.0
19016.0,8125.0
19001.0,8256.0
18981.0,8478.0
18969.0,8512.0
18982.0,8298.0
19007.0,8110.0
19012.0,8191.0
18987.0,8399.0
18976.0,8422.0
18974.0,8287.0
19000.0,8141.0
19021.0,8163.0
18995.0,8325.0
18974.0,8514.0
18972.0,8382.0
18988.0,8238.0
19015.0,8142.0
19008.0,8257.0
18983.0,8381.0
18977.0,8434.0
18980.0,8361.0
19006.0,8128.0
19015.0,8152.0
18990.0,8371.0
18980.0,8508.0
18979.0,8424.0
18990.0,8200.0
19015.0,8150.0
19008.0,8306.0
18987.0,8429.0
18973.0,8452.0
18974.0,8315.0
19000.0,8157.0
19020.0,8159.0
19000.0,8383.0
18984.0,8500.0
18974.0,8412.0
18987.0,8141.0
19016.0,8041.0
19007.0,8131.0
18981.0,8310.0
18981.0,8113.0
19009.0,8080.0
19017.0,8143.0
18990.0,8294.0
18978.0,8250.0
18988.0,8019.0
19020.0,7930.0
18993.0,7925.0
18978.0,7841.0
19013.0,7821.0
18993.0,7683.0
18983.0,7605.0
19016.0,7430.0
18969.0,7353.0
19014.0,7340.0
18967.0,7333.0
19018.0,7402.0
18972.0,7402.0
19017.0,7541.0
18974.0,7610.0
19005.0,7823.0
19008.0,7947.0
18973.0,8089.0
18990.0,7973.0
19017.0,8036.0
18988.0,8259.0
18973.0,8480.0
18978.0,8538.0
18982.0,8178.0
19011.0,8088.0
19001.0,8160.0
18982.0,8305.0
18977.0,8198.0
19007.0,8057.0
19020.0,8134.0
18993.0,8307.0
18977.0,8328.0
18986.0,8168.0
19013.0,8060.0
19006.0,8151.0
18981.0,8287.0
18975.0,8166.0
19002.0,7969.0
19015.0,8003.0
18978.0,7931.0
18986.0,7839.0
19020.0,7801.0
18982.0,7702.0
18989.0,7709.0
19013.0,7848.0
18972.0,7106.0
19013.0,6742.0
18980.0,7205.0
18993.0,6721.0
19009.0,6883.0
18969.0,6642.0
18980.0,7020.0
19014.0,7576.0
18978.0,7596.0
18998.0,7790.0
19012.0,7935.0
18977.0,8319.0
18977.0,8544.0
18989.0,8273.0
19018.0,8172.0
19010.0,8419.0
19001.0,8478.0
18982.0,8117.0
18979.0,7821.0
19016.0,7816.0
18988.0,8492.0
18976.0,8563.0
18976.0,8471.0
18982.0,8240.0
19013.0,8116.0
19013.0,8197.0
18985.0,8337.0
18975.0,8388.0
18982.0,8152.0
19013.0,8103.0
19008.0,8174.0
18981.0,8351.0
18971.0,8303.0
18987.0,8074.0
19016.0,8036.0
18998.0,8210.0
18974.0,8300.0
18978.0,8133.0
19010.0,8039.0
19007.0,8120.0
18980.0,8269.0
18975.0,8135.0
19006.0,8056.0
19016.0,8098.0
18980.0,8285.0
18971.0,8247.0
18991.0,8071.0
19019.0,8046.0
